,index,language,link,readme
0,0,JavaScript,freeCodeCamp/freeCodeCamp,"['GitHub is home to over 40 million developers working together to host and review code, manage projects, and build software together.', '', '\n\n\n', 'freeCodeCamp.org is a friendly community where you can learn to code for free. It is run by a donor-supported 501(c)(3) nonprofit to help  millions of busy adults transition into tech. Our community has already helped more than 10,000 people get their first developer job.', 'Our full-stack web development curriculum is completely free and self-paced. We have thousands of interactive coding challenges to help you expand your skills.', 'freeCodeCamp.org offers several free developer certifications. Each of these certifications involves building 5 required web app projects, along with hundreds of optional coding challenges to help you prepare for those projects. We estimate that each certification will take a beginning programmer around 300 hours to earn.', ""Each of these 30 projects in the freeCodeCamp.org curriculum has its own agile user stories and automated tests. These help you build up your project incrementally and ensure you've fulfilled all the user stories before you submit it."", ""You can pull in these test suites through freeCodeCamp's CDN. This means you can build these projects on websites like CodePen and Glitch - or even on your local computer's development environment."", 'Once you’ve earned a certification, you will always have it. You will always be able to link to it from your LinkedIn or résumé. And when your prospective employers or freelance clients click that link, they’ll see a verified certification specific to you.', ""The one exception to this is if we discover violations of our Academic Honesty Policy. When we catch people unambiguously plagiarizing (submitting other people's code or projects as their own without citation), we do what all rigorous institutions of learning should do - we revoke their certifications and ban those people."", 'Here are our six core certifications:', ""Once you have earned all 6 of these certifications, you'll be able to claim your freeCodeCamp.org Full Stack Development Certification. This final distinction signifies that you’ve completed around 1,800 hours of coding with a wide range of web development tools."", 'We also have 3 legacy certifications from our 2015 curriculum, which are still available. All of the required projects for these legacy certifications will remain available on freeCodeCamp.org.', 'This code is running live at freeCodeCamp.org.', 'Our community also has:', ""If you think you've found a bug, first read the how to report a bug article and follow its instructions."", ""If you're confident it's a new bug and have confirmed that someone else is facing the same issue, go ahead and create a new GitHub issue. Be sure to include as much information as possible so we can reproduce the bug."", ""If you think you have found a vulnerability, please report responsibly. Don't create GitHub issues for security issues. Instead, please send an email to security@freecodecamp.org and we'll look into it immediately."", 'The general platform status for all our applications is available at status.freecodecamp.org. The build and deployment status for the code is available in our DevOps Guide.', 'Copyright © 2019 freeCodeCamp.org', 'The content of this repository is bound by the following licenses:', '\n\nfreeCodeCamp<!--\n-->/<!--\n-->freeCodeCamp\n', '\nfreeCodeCamp/README.md\n', ""freeCodeCamp.org's open-source codebase and curriculum"", 'Table of Contents', '\n              Sponsor freeCodeCamp/freeCodeCamp\n            ', 'Join GitHub today', '\n              Users who have contributed to this file\n            ', 'Certifications', 'The Learning Platform', 'Join our community here.', 'Reporting Bugs and Issues', 'Reporting Security Issues', 'Contributing', 'Please follow these steps to contribute.', 'Platform, Build and Deployment Status', 'License']"
1,1,Rust,996icu/996.ICU,"['GitHub is home to over 40 million developers working together to host and review code, manage projects, and build software together.', 'Please note that there exists NO other official account, app or merchandise except for the official domain and this repository.', 'The name 996.ICU refers to ""Work by \'996\', sick in ICU"", an ironic saying among Chinese developers, which means that by following the ""996"" work schedule, you are risking yourself getting into the ICU (Intensive Care Unit).', '\n\n\n', 'See a full list of press', 'A ""996"" work schedule refers to an unofficial work schedule (9 a.m.–9 p.m., 6 days per week) that has been gaining popularity. Serving a company that encourages the ""996"" work schedule usually means working for at least 60 hours per week.\nVisit 996 working hour system on Wikipedia for more details.', '996.ICU is an initiative initiated by IT practitioners. We welcome people from other fields and other countries to join the discussion.', 'This is not a political movement. We firmly uphold the labor law and request employers to respect the legitimate rights and interests of their employees.', ""It is great progress from closed source to open source, and it will also be great progress from open source to emphasizing labor rights at the same time. What we want is to create an open source software license that advocates workers' rights."", 'We are willing to hear all positive and constructive proposals and advocate mature and responsible speech.', ""Please feel free to translate 996.ICU's contents, adjust the format, add some contents or fix grammatical errors. Please note that adding too many translations is getting off the track."", 'Even with interaction limits on, the issues area was totally out of control.\nSo I personally decided to switch it off, not by GitHub or others.', 'Anti-996 License', 'The purpose of this license is to prevent anti-labour-law companies from using the software or codes under the license, and force those companies to weigh their way of working', 'See a full list of projects under Anti-996 License', 'This draft is adapted from the MIT license. For a more detailed explanation, please see Wiki. This license is designed to be compatible with all major open source licenses.', 'For law professionals or anyone who is willing to contribute to future version directly, please go to Anti-996-License-1.0. Thank you.', 'You can reach me by E-mail if you need.', '\n\n996icu<!--\n-->/<!--\n-->996.ICU\n', '996.ICU', '\n996.ICU/README.md\n', 'Related press coverage:', 'What is 996?', 'What can I do?', 'Voices', 'Principles and purposes', 'Expanding influence', 'Community powers', 'Where are the issues?', 'License', 'Contact', 'Join GitHub today', '\n              Users who have contributed to this file\n            ', 'State Media', 'Capitalists', 'Developers']"
2,2,JavaScript,vuejs/vue,"['GitHub is home to over 40 million developers working together to host and review code, manage projects, and build software together.', '', '\n\n\n\n\n\n\n\n\n', ""Vue.js is an MIT-licensed open source project. It's an independent project with its ongoing development made possible entirely thanks to the support by these awesome backers. If you'd like to join them, please consider:"", ""Funds donated via Patreon goes directly to support Evan You's full-time work on Vue.js. Funds donated via OpenCollective are managed with transparent expenses and will be used for compensating work and expenses by core team members or sponsoring community events. Your name/logo will receive proper recognition and exposure by donating on either platform."", '\n\n\n\n\n\n\n\n', '\n', '\n\n\n\n\n', 'Vue (pronounced /vjuː/, like view) is a progressive framework for building user interfaces. It is designed from the ground up to be incrementally adoptable, and can easily scale between a library and a framework depending on different use cases. It consists of an approachable core library that focuses on the view layer only, and an ecosystem of supporting libraries that helps you tackle complexity in large Single-Page Applications.', 'Vue.js supports all browsers that are ES5-compliant (IE8 and below are not supported).', 'To check out live examples and docs, visit vuejs.org.', 'For questions and support please use the the official forum or community chat. The issue list of this repo is exclusively for bug reports and feature requests.', 'Please make sure to read the Issue Reporting Checklist before opening an issue. Issues not conforming to the guidelines may be closed immediately.', 'Detailed changes for each release are documented in the release notes.', 'Please make sure to read the Contributing Guide before making a pull request. If you have a Vue-related project/component/tool, add it with a pull-request to this curated list!', 'Thank you to all the people who already contributed to Vue!', '', 'MIT', 'Copyright (c) 2013-present, Yuxi (Evan) You', '\n\nvuejs<!--\n-->/<!--\n-->vue\n', '\nvue/README.md\n', 'Supporting Vue.js', 'Introduction', 'Ecosystem', 'Documentation', 'Questions', 'Issues', 'Changelog', 'Stay In Touch', 'Contribution', 'License', '\n              Sponsor vuejs/vue\n            ', 'Join GitHub today', 'Sponsors via Patreon', 'Sponsors via OpenCollective']"
3,3,JavaScript,facebook/react,"['GitHub is home to over 40 million developers working together to host and review code, manage projects, and build software together.', 'React is a JavaScript library for building user interfaces.', 'Learn how to use React in your own project.', 'React has been designed for gradual adoption from the start, and you can use as little or as much React as you need:', 'You can use React as a &lt;script&gt; tag from a CDN, or as a react package on npm.', 'You can find the React documentation on the website.', 'Check out the Getting Started page for a quick overview.', 'The documentation is divided into several sections:', 'You can improve it by sending pull requests to this repository.', 'We have several examples on the website. Here is the first one to get you started:', 'This example will render ""Hello Taylor"" into a container on the page.', ""You'll notice that we used an HTML-like syntax; we call it JSX. JSX is not required to use React, but it makes code more readable, and writing it feels like writing HTML. If you're using React as a &lt;script&gt; tag, read this section on integrating JSX; otherwise, the recommended JavaScript toolchains handle it automatically."", 'The main purpose of this repository is to continue to evolve React core, making it faster and easier to use. Development of React happens in the open on GitHub, and we are grateful to the community for contributing bugfixes and improvements. Read below to learn how you can take part in improving React.', 'Facebook has adopted a Code of Conduct that we expect project participants to adhere to. Please read the full text so that you can understand what actions will and will not be tolerated.', 'Read our contributing guide to learn about our development process, how to propose bugfixes and improvements, and how to build and test your changes to React.', 'To help you get your feet wet and get you familiar with our contribution process, we have a list of good first issues that contain bugs which have a relatively limited scope. This is a great place to get started.', 'React is MIT licensed.', '\n\nfacebook<!--\n-->/<!--\n-->react\n', 'React ·    ', '\nreact/README.md\n', 'Installation', 'Documentation', 'Examples', 'Contributing', 'Join GitHub today', '\n              Users who have contributed to this file\n            ', 'Code of Conduct', 'Contributing Guide', 'Good First Issues', 'License']"
4,4,C++,tensorflow/tensorflow,"['GitHub is home to over 40 million developers working together to host and review code, manage projects, and build software together.', 'TensorFlow is an end-to-end open source platform\nfor machine learning. It has a comprehensive, flexible ecosystem of\ntools,\nlibraries, and\ncommunity resources that lets\nresearchers push the state-of-the-art in ML and developers easily build and\ndeploy ML-powered applications.', ""TensorFlow was originally developed by researchers and engineers working on the\nGoogle Brain team within Google's Machine Intelligence Research organization to\nconduct machine learning and deep neural networks research. The system is\ngeneral enough to be applicable in a wide variety of other domains, as well."", 'TensorFlow provides stable Python\nand C++ APIs, as well as\nnon-guaranteed backward compatible API for\nother languages.', 'Keep up-to-date with release announcements and security updates by subscribing\nto\nannounce@tensorflow.org.\nSee all the mailing lists.', 'See the TensorFlow install guide for the\npip package, to\nenable GPU support, use a\nDocker container, and\nbuild from source.', 'To install the current release for CPU-only:', 'Use the GPU package for\nCUDA-enabled GPU cards (Ubuntu and\nWindows):', 'Nightly binaries are available for testing using the\ntf-nightly and\ntf-nightly-gpu packages on PyPi.', 'For more examples, see the\nTensorFlow tutorials.', ""If you want to contribute to TensorFlow, be sure to review the\ncontribution guidelines. This project adheres to TensorFlow's\ncode of conduct. By participating, you are expected to\nuphold this code."", 'We use GitHub issues for\ntracking requests and bugs, please see\nTensorFlow Discuss\nfor general questions and discussion, and please direct specific questions to\nStack Overflow.', 'The TensorFlow project strives to abide by generally accepted best practices in\nopen-source software development:', '\n', 'Learn more about the\nTensorFlow community and how to\ncontribute.', 'Apache License 2.0', '\n\ntensorflow<!--\n-->/<!--\n-->tensorflow\n', '\ntensorflow/README.md\n', 'Install', 'Contribution guidelines', 'Continuous build status', 'Resources', 'License', 'Join GitHub today', 'Official Builds', 'Community Supported Builds']"
5,5,JavaScript,twbs/bootstrap,"['GitHub is home to over 40 million developers working together to host and review code, manage projects, and build software together.', '\n\n\n\n', '\n  Sleek, intuitive, and powerful front-end framework for faster and easier web development.\n  \nExplore Bootstrap docs »\n\n\nReport bug\n  ·\n  Request feature\n  ·\n  Themes\n  ·\n  Blog\n', 'Several quick start options are available:', 'Read the Getting started page for information on the framework contents, templates and examples, and more.', '\n\n\n\n\n\n\n\n\n\n\n\n\n', ""Within the download you'll find the following directories and files, logically grouping common assets and providing both compiled and minified variations. You'll see something like this:"", ""We provide compiled CSS and JS (bootstrap.*), as well as compiled and minified CSS and JS (bootstrap.min.*). source maps (bootstrap.*.map) are available for use with certain browsers' developer tools. Bundled JS files (bootstrap.bundle.js and minified bootstrap.bundle.min.js) include Popper."", 'Have a bug or a feature request? Please first read the issue guidelines and search for existing and closed issues. If your problem or idea is not addressed yet, please open a new issue.', ""Bootstrap's documentation, included in this repo in the root directory, is built with Hugo and publicly hosted on GitHub Pages at https://getbootstrap.com/. The docs may also be run locally."", ""Documentation search is powered by Algolia's DocSearch. Working on our search? Be sure to set debug: true in site/assets/js/src/search.js file."", 'Learn more about using Hugo by reading its documentation.', 'You can find all our previous releases docs on https://getbootstrap.com/docs/versions/.', 'Previous releases and their documentation are also available for download.', 'Please read through our contributing guidelines. Included are directions for opening issues, coding standards, and notes on development.', 'Moreover, if your pull request contains JavaScript patches or features, you must include relevant unit tests. All HTML and CSS should conform to the Code Guide, maintained by Mark Otto.', 'Editor preferences are available in the editor config for easy use in common text editors. Read more and download plugins at https://editorconfig.org/.', ""Get updates on Bootstrap's development and chat with the project maintainers and community members."", 'For transparency into our release cycle and in striving to maintain backward compatibility, Bootstrap is maintained under the Semantic Versioning guidelines. Sometimes we screw up, but we adhere to those rules whenever possible.', 'See the Releases section of our GitHub project for changelogs for each release version of Bootstrap. Release announcement posts on the official Bootstrap blog contain summaries of the most noteworthy changes made in each release.', 'Mark Otto', 'Jacob Thornton', 'Thanks to BrowserStack for providing the infrastructure that allows us to test in real browsers!', 'Thank you to all our backers! 🙏 [Become a backer]', '', 'Support this project by becoming a sponsor. Your logo will show up here with a link to your website. [Become a sponsor]', '\n\n\n\n\n\n\n\n\n', 'Code and documentation copyright 2011-2019 the Bootstrap Authors and Twitter, Inc. Code released under the MIT License. Docs released under Creative Commons.', '\n\ntwbs<!--\n-->/<!--\n-->bootstrap\n', '\nbootstrap/README.md\n', 'Table of contents', 'Quick start', 'Status', ""What's included"", 'Bugs and feature requests', 'Documentation', 'Contributing', 'Community', 'Versioning', 'Creators', 'Thanks', 'Backers', 'Sponsors', 'Copyright and license', '\n              Sponsor twbs/bootstrap\n            ', 'Join GitHub today', '\n              Users who have contributed to this file\n            ', 'Bootstrap', 'Running documentation locally', 'Documentation for previous releases']"
6,6,Shell,ohmyzsh/ohmyzsh,"['GitHub is home to over 40 million developers working together to host and review code, manage projects, and build software together.', '\n\n', '\n', 'Oh My Zsh is an open source, community-driven framework for managing your zsh configuration.', ""Sounds boring. Let's try again."", 'Oh My Zsh will not make you a 10x developer...but you may feel like one.', 'Once installed, your terminal shell will become the talk of the town or your money back! With each keystroke in your command prompt, you\'ll take advantage of the hundreds of powerful plugins and beautiful themes. Strangers will come up to you in cafés and ask you, ""that is amazing! are you some sort of genius?""', ""Finally, you'll begin to get the sort of attention that you have always felt you deserved. ...or maybe you'll use the time that you're saving to start flossing more often. 😬"", 'To learn more, visit ohmyz.sh and follow @ohmyzsh on Twitter.', 'Oh My Zsh is installed by running one of the following commands in your terminal. You can install this via the command-line with either curl or wget.', ""It's a good idea to inspect the install script from projects you don't yet know. You can do\nthat by downloading the install script first, looking through it so everything looks normal,\nthen running it:"", ""Oh My Zsh comes with a shitload of plugins to take advantage of. You can take a look in the plugins directory and/or the wiki to see what's currently available."", ""Once you spot a plugin (or several) that you'd like to use with Oh My Zsh, you'll need to enable them in the .zshrc file. You'll find the zshrc file in your $HOME directory. Open it with your favorite text editor and you'll see a spot to list all the plugins you want to load."", 'For example, this might begin to look like this:', 'Note that the plugins are separated by whitespace. Do not use commas between them.', ""Most plugins (should! we're working on this) include a README, which documents how to use them."", ""We'll admit it. Early in the Oh My Zsh world, we may have gotten a bit too theme happy. We have over one hundred themes now bundled. Most of them have screenshots on the wiki. Check them out!"", ""Robby's theme is the default one. It's not the fanciest one. It's not the simplest one. It's just the right one (for him)."", ""Once you find a theme that you'd like to use, you will need to edit the ~/.zshrc file. You'll see an environment variable (all caps) in there that looks like:"", 'To use a different theme, simply change the value to match the name of your desired theme. For example:', 'Note: many themes require installing the Powerline Fonts in order to render properly.', 'Open up a new terminal window and your prompt should look something like this:', '', 'In case you did not find a suitable theme for your needs, please have a look at the wiki for more of them.', ""If you're feeling feisty, you can let the computer select one randomly for you each time you open a new terminal window."", 'And if you want to pick random theme from a list of your favorite themes:', 'If you have some more questions or issues, you might find a solution in our FAQ.', ""If you're the type that likes to get their hands dirty, these sections might resonate."", 'Some users may want to manually install Oh My Zsh, or change the default path or other settings that\nthe installer accepts (these settings are also documented at the top of the install script).', 'The default location is ~/.oh-my-zsh (hidden in your home directory)', ""If you'd like to change the install directory with the ZSH environment variable, either by running\nexport ZSH=/your/path before installing, or by setting it before the end of the install pipeline\nlike this:"", ""If you're running the Oh My Zsh install script as part of an automated install, you can pass the\nflag --unattended to the install.sh script. This will have the effect of not trying to change\nthe default shell, and also won't run zsh when the installation has finished."", 'The install script also accepts these variables to allow installation of a different repository:', 'REPO (default: ohmyzsh/ohmyzsh): this takes the form of owner/repository. If you set\nthis variable, the installer will look for a repository at https://github.com/{owner}/{repository}.', 'REMOTE (default: https://github.com/${REPO}.git): this is the full URL of the git repository\nclone. You can use this setting if you want to install from a fork that is not on GitHub (GitLab,\nBitbucket...) or if you want to clone with SSH instead of HTTPS (git@github.com:user/project.git).', ""NOTE: it's incompatible with setting the REPO variable. This setting will take precedence."", 'BRANCH (default: master): you can use this setting if you want to change the default branch to be\nchecked out when cloning the repository. This might be useful for testing a Pull Request, or if you\nwant to use a branch other than master.', 'For example:', 'You can create a new zsh config file by copying the template that we have included for you.', 'You must log out from your user session and log back in to see this change.', ""Once you open up a new terminal window, it should load zsh with Oh My Zsh's configuration."", 'If you have any hiccups installing, here are a few common fixes.', 'If you want to override any of the default behaviors, just add a new file (ending in .zsh) in the custom/ directory.', 'If you have many functions that go well together, you can put them as a XYZ.plugin.zsh file in the custom/plugins/ directory and then enable this plugin.', 'If you would like to override the functionality of a plugin distributed with Oh My Zsh, create a plugin of the same name in the custom/plugins/ directory and it will be loaded instead of the one in plugins/.', 'By default, you will be prompted to check for upgrades every few weeks. If you would like oh-my-zsh to automatically upgrade itself without prompting you, set the following in your ~/.zshrc:', 'To disable automatic upgrades, set the following in your ~/.zshrc:', ""If you'd like to upgrade at any point in time (maybe someone just released a new plugin and you don't want to wait a week?) you just need to run:"", 'Magic! 🎉', ""Oh My Zsh isn't for everyone. We'll miss you, but we want to make this an easy breakup."", 'If you want to uninstall oh-my-zsh, just run uninstall_oh_my_zsh from the command-line. It will remove itself and revert your previous bash or zsh configuration.', 'Before you participate in our delightful community, please read the code of conduct.', ""I'm far from being a Zsh expert and suspect there are many ways to improve – if you have ideas on how to make the configuration easier to maintain (and faster), don't hesitate to fork and send pull requests!"", 'We also need people to test out pull-requests. So take a look through the open issues and help where you can.', 'See Contributing for more details.', 'We have (more than) enough themes for the time being. Please add your theme to the external themes wiki page.', ""Oh My Zsh has a vibrant community of happy users and delightful contributors. Without all the time and help from our contributors, it wouldn't be so awesome."", 'Thank you so much!', ""We're on the social media."", 'We have stickers, shirts, and coffee mugs available for you to show off your love of Oh My Zsh. Again, you will become the talk of the town!', 'Oh My Zsh is released under the MIT license.', '', 'Oh My Zsh was started by the team at Planet Argon, a Ruby on Rails development agency. Check out our other open source projects.', '\n\nohmyzsh<!--\n-->/<!--\n-->ohmyzsh\n', '\nohmyzsh/README.md\n', 'Getting Started', 'Using Oh My Zsh', 'Advanced Topics', 'Getting Updates', 'Uninstalling Oh My Zsh', 'How do I contribute to Oh My Zsh?', 'Contributors', 'Follow Us', 'Merchandise', 'License', 'About Planet Argon', 'Join GitHub today', '\n              Users who have contributed to this file\n            ', 'Prerequisites', 'Basic Installation', 'Plugins', 'Themes', 'FAQ', 'Advanced Installation', 'Installation Problems', 'Custom Plugins and Themes', 'Manual Updates', 'Do NOT send us themes']"
7,0,JavaScript,freeCodeCamp/freeCodeCamp,"['\n          GitHub makes it easy to scale back on context switching. Read rendered\n          documentation, see the history of any file, and collaborate with\n          contributors on projects across GitHub.\n        ', '', '\n\n\n', 'freeCodeCamp.org is a friendly community where you can learn to code for free. It is run by a donor-supported 501(c)(3) nonprofit to help  millions of busy adults transition into tech. Our community has already helped more than 10,000 people get their first developer job.', 'Our full-stack web development curriculum is completely free and self-paced. We have thousands of interactive coding challenges to help you expand your skills.', 'freeCodeCamp.org offers several free developer certifications. Each of these certifications involves building 5 required web app projects, along with hundreds of optional coding challenges to help you prepare for those projects. We estimate that each certification will take a beginning programmer around 300 hours to earn.', ""Each of these 30 projects in the freeCodeCamp.org curriculum has its own agile user stories and automated tests. These help you build up your project incrementally and ensure you've fulfilled all the user stories before you submit it."", ""You can pull in these test suites through freeCodeCamp's CDN. This means you can build these projects on websites like CodePen and Glitch - or even on your local computer's development environment."", 'Once you’ve earned a certification, you will always have it. You will always be able to link to it from your LinkedIn or résumé. And when your prospective employers or freelance clients click that link, they’ll see a verified certification specific to you.', ""The one exception to this is if we discover violations of our Academic Honesty Policy. When we catch people unambiguously plagiarizing (submitting other people's code or projects as their own without citation), we do what all rigorous institutions of learning should do - we revoke their certifications and ban those people."", 'Here are our six core certifications:', ""Once you have earned all 6 of these certifications, you'll be able to claim your freeCodeCamp.org Full Stack Development Certification. This final distinction signifies that you’ve completed around 1,800 hours of coding with a wide range of web development tools."", 'We also have 3 legacy certifications from our 2015 curriculum, which are still available. All of the required projects for these legacy certifications will remain available on freeCodeCamp.org.', 'This code is running live at freeCodeCamp.org.', 'Our community also has:', ""If you think you've found a bug, first read the how to report a bug article and follow its instructions."", ""If you're confident it's a new bug and have confirmed that someone else is facing the same issue, go ahead and create a new GitHub issue. Be sure to include as much information as possible so we can reproduce the bug."", ""If you think you have found a vulnerability, please report responsibly. Don't create GitHub issues for security issues. Instead, please send an email to security@freecodecamp.org and we'll look into it immediately."", 'The general platform status for all our applications is available at status.freecodecamp.org. The build and deployment status for the code is available in our DevOps Guide.', 'Copyright © 2019 freeCodeCamp.org', 'The content of this repository is bound by the following licenses:', '\n\nfreeCodeCamp<!--\n-->/<!--\n-->freeCodeCamp\n', '\nfreeCodeCamp/README.md\n', ""freeCodeCamp.org's open-source codebase and curriculum"", 'Table of Contents', '\n              Sponsor freeCodeCamp/freeCodeCamp\n            ', 'All your code in one place', '\n              Users who have contributed to this file\n            ', 'Certifications', 'The Learning Platform', 'Join our community here.', 'Reporting Bugs and Issues', 'Reporting Security Issues', 'Contributing', 'Please follow these steps to contribute.', 'Platform, Build and Deployment Status', 'License']"
8,1,Rust,996icu/996.ICU,"['GitHub is home to over 40 million developers working together to host and review code, manage projects, and build software together.', 'Please note that there exists NO other official account, app or merchandise except for the official domain and this repository.', 'The name 996.ICU refers to ""Work by \'996\', sick in ICU"", an ironic saying among Chinese developers, which means that by following the ""996"" work schedule, you are risking yourself getting into the ICU (Intensive Care Unit).', '\n\n\n', 'See a full list of press', 'A ""996"" work schedule refers to an unofficial work schedule (9 a.m.–9 p.m., 6 days per week) that has been gaining popularity. Serving a company that encourages the ""996"" work schedule usually means working for at least 60 hours per week.\nVisit 996 working hour system on Wikipedia for more details.', '996.ICU is an initiative initiated by IT practitioners. We welcome people from other fields and other countries to join the discussion.', 'This is not a political movement. We firmly uphold the labor law and request employers to respect the legitimate rights and interests of their employees.', ""It is great progress from closed source to open source, and it will also be great progress from open source to emphasizing labor rights at the same time. What we want is to create an open source software license that advocates workers' rights."", 'We are willing to hear all positive and constructive proposals and advocate mature and responsible speech.', ""Please feel free to translate 996.ICU's contents, adjust the format, add some contents or fix grammatical errors. Please note that adding too many translations is getting off the track."", 'Even with interaction limits on, the issues area was totally out of control.\nSo I personally decided to switch it off, not by GitHub or others.', 'Anti-996 License', 'The purpose of this license is to prevent anti-labour-law companies from using the software or codes under the license, and force those companies to weigh their way of working', 'See a full list of projects under Anti-996 License', 'This draft is adapted from the MIT license. For a more detailed explanation, please see Wiki. This license is designed to be compatible with all major open source licenses.', 'For law professionals or anyone who is willing to contribute to future version directly, please go to Anti-996-License-1.0. Thank you.', 'You can reach me by E-mail if you need.', '\n\n996icu<!--\n-->/<!--\n-->996.ICU\n', '996.ICU', '\n996.ICU/README.md\n', 'Related press coverage:', 'What is 996?', 'What can I do?', 'Voices', 'Principles and purposes', 'Expanding influence', 'Community powers', 'Where are the issues?', 'License', 'Contact', 'Join GitHub today', '\n              Users who have contributed to this file\n            ', 'State Media', 'Capitalists', 'Developers']"
9,2,JavaScript,vuejs/vue,"['GitHub is home to over 40 million developers working together to host and review code, manage projects, and build software together.', '', '\n\n\n\n\n\n\n\n\n', ""Vue.js is an MIT-licensed open source project. It's an independent project with its ongoing development made possible entirely thanks to the support by these awesome backers. If you'd like to join them, please consider:"", ""Funds donated via Patreon goes directly to support Evan You's full-time work on Vue.js. Funds donated via OpenCollective are managed with transparent expenses and will be used for compensating work and expenses by core team members or sponsoring community events. Your name/logo will receive proper recognition and exposure by donating on either platform."", '\n\n\n\n\n\n\n\n', '\n', '\n\n\n\n\n', 'Vue (pronounced /vjuː/, like view) is a progressive framework for building user interfaces. It is designed from the ground up to be incrementally adoptable, and can easily scale between a library and a framework depending on different use cases. It consists of an approachable core library that focuses on the view layer only, and an ecosystem of supporting libraries that helps you tackle complexity in large Single-Page Applications.', 'Vue.js supports all browsers that are ES5-compliant (IE8 and below are not supported).', 'To check out live examples and docs, visit vuejs.org.', 'For questions and support please use the the official forum or community chat. The issue list of this repo is exclusively for bug reports and feature requests.', 'Please make sure to read the Issue Reporting Checklist before opening an issue. Issues not conforming to the guidelines may be closed immediately.', 'Detailed changes for each release are documented in the release notes.', 'Please make sure to read the Contributing Guide before making a pull request. If you have a Vue-related project/component/tool, add it with a pull-request to this curated list!', 'Thank you to all the people who already contributed to Vue!', '', 'MIT', 'Copyright (c) 2013-present, Yuxi (Evan) You', '\n\nvuejs<!--\n-->/<!--\n-->vue\n', '\nvue/README.md\n', 'Supporting Vue.js', 'Introduction', 'Ecosystem', 'Documentation', 'Questions', 'Issues', 'Changelog', 'Stay In Touch', 'Contribution', 'License', '\n              Sponsor vuejs/vue\n            ', 'Join GitHub today', 'Sponsors via Patreon', 'Sponsors via OpenCollective']"
